ano,id_municipio,expectativa_anos_estudo,taxa_analfabetismo_15_a_17,taxa_atraso_0_medio,taxa_freq_bruta_medio,taxa_freq_15_17,indice_gini,idhm_e,idhm_l,idhm_r
2010,1304302,8.87,1.97,63.75,62.17,87.44,0.6,0.575,0.754,0.551
2010,1304401,8.28,2.95,63.89,54.36,78.92,0.58,0.487,0.776,0.538
2010,1400027,4.72,30.23,80.24,26.13,54.43,0.75,0.319,0.815,0.437
2010,1400050,5.66,33.53,65.36,42.45,55.59,0.73,0.379,0.813,0.518
2010,1400100,9.5,1.36,73.08,70.4,86.5,0.58,0.708,0.816,0.737
2010,1400159,8.2,2.29,51.82,60.84,79.65,0.72,0.509,0.809,0.597
2010,1400175,8.58,2.66,77.11,59.12,83.44,0.66,0.509,0.803,0.581
2010,1400209,8.07,3.31,73.21,61.47,80.62,0.56,0.518,0.78,0.601
2010,1400233,9.57,1.47,75.59,64.37,74.4,0.55,0.549,0.791,0.6
2010,1400282,7.45,18.0,78.51,60.1,68.23,0.62,0.434,0.81,0.56
2010,1400308,8.38,4.41,56.06,62.16,81.3,0.71,0.547,0.813,0.661
2010,1400407,7.52,2.81,60.68,26.54,73.64,0.7,0.502,0.801,0.52
2010,1400456,8.52,2.49,73.88,59.24,82.26,0.74,0.558,0.788,0.624
2010,1400472,7.54,3.09,78.47,48.81,82.28,0.57,0.519,0.798,0.574
2010,1400506,8.88,1.13,68.87,55.94,75.31,0.53,0.587,0.78,0.614
2010,1400605,8.18,1.79,65.95,30.28,77.65,0.55,0.574,0.788,0.605
2010,1400704,4.73,8.72,59.76,63.14,64.29,0.78,0.276,0.766,0.439
2010,1500107,8.99,2.86,61.54,70.98,87.63,0.53,0.537,0.798,0.579
2010,1500131,8.51,3.04,64.88,53.67,74.74,0.57,0.481,0.8,0.625
2010,1500206,6.03,9.07,52.14,46.0,82.26,0.53,0.332,0.757,0.517
2010,1500305,6.59,9.93,59.34,41.19,72.19,0.66,0.311,0.774,0.485
2010,1500347,7.48,2.04,61.53,68.15,70.54,0.49,0.399,0.797,0.563
2010,1500404,7.82,3.94,55.77,55.31,81.56,0.58,0.436,0.779,0.529
2010,1500503,8.61,4.67,63.93,60.93,84.83,0.65,0.497,0.809,0.659
2010,1500602,8.65,3.09,65.18,74.47,77.94,0.56,0.548,0.811,0.662
2010,1500701,6.6,11.81,53.62,39.2,75.68,0.62,0.29,0.774,0.506
2010,1500800,9.65,1.35,62.59,84.53,88.28,0.52,0.658,0.821,0.684
2010,1500859,7.63,5.2,51.1,33.69,73.47,0.58,0.371,0.788,0.563
2010,1500909,7.46,6.87,58.62,53.57,80.17,0.56,0.38,0.772,0.48
2010,1500958,6.55,7.85,73.38,47.14,75.55,0.56,0.358,0.773,0.504
2010,1501006,7.82,3.74,66.21,64.83,84.31,0.6,0.45,0.748,0.47
2010,1501105,5.57,10.38,53.61,42.94,68.55,0.48,0.28,0.777,0.481
