SG_UE,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDUCACAO
7412,0.479,0.7140000000000001,0.48
4170,0.48,0.772,0.38
12670,0.48,0.775,0.34700000000000003
7846,0.48,0.731,0.36
4219,0.48100000000000004,0.777,0.28
8044,0.48100000000000004,0.72,0.511
28916,0.48100000000000004,0.728,0.39799999999999996
2054,0.48100000000000004,0.733,0.259
4480,0.48200000000000004,0.757,0.34600000000000003
5657,0.48200000000000004,0.7759999999999999,0.366
10804,0.483,0.711,0.381
5274,0.483,0.775,0.461
7102,0.483,0.706,0.444
8273,0.483,0.7759999999999999,0.494
12300,0.483,0.7609999999999999,0.431
28436,0.484,0.7190000000000001,0.419
7560,0.485,0.774,0.45899999999999996
7757,0.485,0.693,0.451
4057,0.485,0.774,0.311
8338,0.485,0.74,0.451
11070,0.485,0.765,0.384
8419,0.485,0.706,0.48
8346,0.486,0.711,0.401
7285,0.486,0.741,0.493
12122,0.486,0.7020000000000001,0.342
7072,0.486,0.7190000000000001,0.473
8141,0.486,0.752,0.47200000000000003
9474,0.48700000000000004,0.768,0.425
8303,0.48700000000000004,0.684,0.397
21717,0.488,0.7559999999999999,0.414
8516,0.488,0.715,0.49200000000000005
12718,0.488,0.742,0.376
37850,0.489,0.778,0.354
12475,0.489,0.777,0.391
8990,0.49,0.76,0.45799999999999996
10766,0.49,0.743,0.43799999999999994
73229,0.49,0.738,0.345
10421,0.49,0.758,0.368
23167,0.491,0.755,0.508
19623,0.491,0.737,0.373
19607,0.49200000000000005,0.73,0.379
7501,0.49200000000000005,0.738,0.37
9172,0.493,0.752,0.5770000000000001
9415,0.493,0.7759999999999999,0.461
13463,0.493,0.778,0.523
4790,0.493,0.754,0.425
12556,0.494,0.685,0.375
7005,0.494,0.6970000000000001,0.363
26158,0.494,0.747,0.379
17159,0.495,0.7709999999999999,0.39
73296,0.495,0.715,0.524
8605,0.495,0.774,0.402
14770,0.495,0.768,0.516
4375,0.495,0.779,0.43700000000000006
13951,0.495,0.778,0.45299999999999996
8028,0.495,0.7240000000000001,0.531
23329,0.496,0.752,0.406
2976,0.496,0.75,0.484
10987,0.496,0.72,0.401
7510,0.49700000000000005,0.774,0.46799999999999997
23639,0.49700000000000005,0.732,0.392
15881,0.49700000000000005,0.76,0.544
7927,0.49700000000000005,0.7190000000000001,0.465
23558,0.49700000000000005,0.746,0.395
7170,0.49700000000000005,0.7090000000000001,0.402
28070,0.49700000000000005,0.71,0.44299999999999995
15440,0.49700000000000005,0.732,0.434
9350,0.498,0.73,0.42700000000000005
27570,0.498,0.762,0.405
12688,0.498,0.708,0.32899999999999996
10685,0.498,0.7559999999999999,0.439
8370,0.499,0.7040000000000001,0.46399999999999997
28835,0.499,0.765,0.395
2895,0.499,0.778,0.377
2917,0.499,0.773,0.455
8087,0.499,0.774,0.46399999999999997
25577,0.499,0.736,0.406
1104,0.499,0.731,0.28300000000000003
10863,0.499,0.743,0.4
7056,0.5,0.72,0.374
12203,0.5,0.777,0.508
19364,0.501,0.672,0.425
8362,0.501,0.7190000000000001,0.48
4740,0.501,0.78,0.495
4596,0.501,0.7559999999999999,0.47
12408,0.501,0.726,0.353
36838,0.501,0.747,0.37200000000000005
8737,0.501,0.741,0.514
27650,0.501,0.718,0.316
16187,0.501,0.722,0.473
5037,0.502,0.754,0.344
41602,0.502,0.7759999999999999,0.381
13340,0.502,0.7659999999999999,0.506
12734,0.502,0.738,0.37799999999999995
7986,0.502,0.7490000000000001,0.48100000000000004
8257,0.502,0.7290000000000001,0.499
27294,0.502,0.7390000000000001,0.387
8583,0.502,0.7090000000000001,0.48100000000000004
39772,0.503,0.752,0.568
73024,0.503,0.76,0.49
33537,0.503,0.75,0.457
10707,0.503,0.725,0.46399999999999997
38318,0.503,0.6940000000000001,0.384
15792,0.503,0.745,0.485
24392,0.503,0.711,0.4
7420,0.503,0.713,0.557
15873,0.503,0.7609999999999999,0.5820000000000001
7080,0.503,0.688,0.406
19275,0.503,0.72,0.391
9156,0.503,0.733,0.4
8052,0.503,0.716,0.43799999999999994
11355,0.503,0.732,0.41100000000000003
12696,0.504,0.779,0.315
4340,0.504,0.773,0.358
8559,0.504,0.758,0.41600000000000004
30791,0.504,0.7609999999999999,0.47100000000000003
41521,0.504,0.784,0.469
9270,0.504,0.762,0.541
27316,0.504,0.7190000000000001,0.35700000000000004
12220,0.504,0.745,0.42100000000000004
